QUOTE_CONVERSION;SERVICE_NOTIFICATION;ORDER;CUSTOMER;QUANTITY;DESCRIPTION;QUOTE_COUNT;CUSTOMER_SALES_SHARE;COUNTRY_SALES_SHARE;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;SEGMENT;CONCERN;KEY_ACCOUNT;COUNTRY;COUNTRY_CLUSTERED
Success;366;;79;1;SP;1;0,006330976;0,149340658;0,983460586;0,997637972;Rendering;1;1;FR;FR
Success;367;179;80;0;SP;1;0,004519341;0,09008607;1,601900833;0,702554309;Rendering;1;1;PL;PL
Success;368;180;80;0;SP;1;0,004519341;0,09008607;1,022367282;1;Rendering;1;1;PL;PL
Success;369;181;80;0;SP;1;0,004519341;0,09008607;0,96619016;0,488220267;Rendering;1;1;PL;PL
Success;370;182;80;0;SP;1;0,004519341;0,09008607;1,015309831;0,586920562;Rendering;1;1;PL;PL
Success;371;183;80;0;SP;1;0,004519341;0,09008607;1,215692941;1;Rendering;1;1;PL;PL
Success;372;184;80;1;SP;2;0,004519341;0,09008607;1,696155377;1;Rendering;1;1;PL;PL
Success;373;;25;1;Other;1;0,002652777;0,031120862;1;1;Rendering;0;0;US;US
Success;374;;71;12;SP;1;0,023541794;0,149340658;1,115612697;1;Rendering;1;1;FR;FR
Failure;375;;71;1;SP;1;0,023541794;0,149340658;1;1;Rendering;1;1;FR;FR
Failure;376;;71;2;SP;1;0,023541794;0,149340658;0,864618437;1;Rendering;1;1;FR;FR
Success;377;185;74;0;SP;1;0,006753649;0,09008607;1,000828589;0,743205768;Rendering;1;1;PL;PL
Success;378;186;74;0;SP;1;0,006753649;0,09008607;0,959704496;0,59046013;Rendering;1;1;PL;PL
Success;379;187;74;1;SP;1;0,006753649;0,09008607;1,025509734;0,275508881;Rendering;1;1;PL;PL
Success;380;188;74;0;SP;1;0,006753649;0,09008607;0,946907333;1;Rendering;1;1;PL;PL
Success;381;;74;1;SP;1;0,006753649;0,09008607;0,965971359;0,550562922;Rendering;1;1;PL;PL
Failure;382;;74;1;SP;1;0,006753649;0,09008607;1,119957044;0,367335244;Rendering;1;1;PL;PL
Success;383;189;6;1;SP;1;0;0,018512827;1,022309291;0,959941391;Oilseed;1;0;AE;Other
Success;384;190;6;48;SP;1;0,015086146;0,018512827;0,863546711;1;Oilseed;1;0;AE;Other
Success;385;191;6;1;SP;1;0,015086146;0,018512827;1,018270877;0,461104799;Oilseed;1;0;AE;Other
Success;386;192;6;1;SP;1;0,015086146;0,018512827;0,853816983;0,581058919;Oilseed;1;0;AE;Other
Failure;387;;6;1;SP;1;0,015086146;0,018512827;1;1;Oilseed;1;0;AE;Other
Success;388;;6;2;SP;1;0,015086146;0,018512827;0,934546026;1;Oilseed;1;0;AE;Other
Success;389;193;81;100;SP;1;0,001431216;0,015899797;0,903023845;0,882833649;Rendering;0;0;GB;GB
Success;390;194;6;24;SP;1;0,015086146;0,018512827;1,023312174;1;Oilseed;1;0;AE;Other
Success;391;195;6;3;SP;1;0;0,018512827;0,991448643;1;Oilseed;1;0;AE;Other
Failure;392;;6;1;SP;1;0,015086146;0,018512827;1,01745705;0,968498723;Oilseed;1;0;AE;Other
Success;393;196;82;1;SP;1;0,000847688;0,149340658;1,00667732;1;Rendering;1;1;FR;FR
Success;394;197;82;0;SP;1;0,000847688;0,149340658;0,814363301;1;Rendering;1;1;FR;FR
Success;395;198;83;0;SP;1;0,001451012;0,005698601;0,967282591;1;Oilseed;0;0;XS;Other
