Meldung;Kundenauftrag;Kunde;Bezugsmenge;Bezeichnung;Anzahl Angebote;Angebotserfolg;Umsatzanteil_Kunde;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;KNA1.Land;KNA1.Ist-Konzern;KNA1.KEY_ACCOUNT;KNA1.Umsatzanteil_Land;EQUI.Kundenbranche;Land_Neu
1030;;54;84;Other;1;Success;0,015902771;1,339272578;0,875501323;DE;1;1;0,24288004;Rendering;DE
1031;;94;1;SP;1;Failure;0,003576347;1;1;DE;0;0;0,24288004;Rendering;DE
1032;;9;1;Other;1;Failure;0,019405607;1,455504874;0,342258941;FR;1;0;0,149340658;Rendering;FR
1033;;105;1;SP;1;Failure;0,001312707;0,936116039;0,54599328;IT;0;0;0,021159902;Oilseed;Other
1034;;15;1;Other;1;Failure;0,008587915;1,27166991;1;DE;0;0;0,24288004;Oilseed;DE
1035;;34;1;SP;1;Failure;0,032574028;1,188560045;0,454202789;RU;0;0;0,037934649;Oilseed;RU
1036;;105;1;SP;1;Failure;0,001312707;1,01835229;0,986828122;IT;0;0;0,021159902;Oilseed;Other
1037;;105;1;SP;1;Failure;0,001312707;0,950613899;0,284134638;IT;0;0;0,021159902;Oilseed;Other
1038;;156;1;SP;1;Success;0,006115614;0,919129721;0,827129859;CZ;1;0;0,015798616;Oilseed;Other
1039;;167;1;SP;1;Failure;0,000627537;0,824914324;0,498252656;DE;0;0;0,24288004;Oilseed;DE
1040;;156;1;SP;1;Success;0,006115614;0,923570691;0,740784639;CZ;1;0;0,015798616;Oilseed;Other
1041;;147;5;SP;1;Success;0,012525733;0,827573354;0,334127918;DK;0;0;0,032064225;Oilseed;Other
1042;494;135;0;SP;1;Success;0,015985666;1;1;FR;1;0;0,149340658;Oilseed;FR
1043;;34;1;SP;1;Failure;0,032574028;1;1;RU;0;0;0,037934649;Oilseed;RU
1044;;23;25;SP;1;Success;0,011855655;1,054002925;0,545088401;DE;1;1;0,24288004;Oilseed;DE
1045;;36;1;SP;1;Failure;0,006161744;1,009407411;0,282767698;CY;0;0;0,006161744;Oilseed;Other
1046;495;18;23;SP;2;Success;0,012238261;0,948925369;0,783526335;DE;1;1;0,24288004;Oilseed;DE
1047;496;190;1;SP;1;Success;0,00114539;0,903887744;1;DE;0;0;0,24288004;Oilseed;DE
1048;497;3;190;SP;1;Success;0,012672497;0,899152972;1;DE;1;1;0,24288004;Oilseed;DE
1049;;192;50;Other;1;Failure;0;1,043776097;0,294300437;ES;1;1;0,01187804;Rendering;Other
1050;;34;1;Other;1;Failure;0,032574028;1;1;RU;0;0;0,037934649;Oilseed;RU
1051;;28;1;Other;1;Failure;0,007770044;1,157357309;1;DE;1;0;0,24288004;Oilseed;DE
1052;;34;1;SP;1;Failure;0,032574028;1,124924509;0,776595745;RU;0;0;0,037934649;Oilseed;RU
1053;498;44;1;SP;1;Success;0,001913113;1,151613645;1;CZ;0;0;0,015798616;Rendering;Other
1054;;181;50;Other;1;Success;0,002201576;1,85328449;0,53915043;DE;0;0;0,24288004;Rendering;DE
1055;;21;1;SV;1;Failure;0,0089365;1,09367367;1;TR;1;1;0,014710869;Oilseed;Other
1056;499;25;0;SP;1;Success;0,002652777;1,095076431;0,661935484;US;0;0;0,031120862;Oilseed;US
1057;500;25;0;SP;1;Success;0,002652777;1,093165859;0,724546464;US;0;0;0,031120862;Oilseed;US
1058;;135;9;SP;1;Success;0,015985666;0,837382277;1;FR;1;0;0,149340658;Oilseed;FR
1059;501;17;0;SP;1;Success;0,001380133;1,259412333;1;IT;1;1;0,021159902;Oilseed;Other
1060;;12;3;SP;1;Failure;0,021882417;1;1;DE;1;1;0,24288004;Oilseed;DE
1061;502;74;2;SP;1;Success;0,006753649;0,833695898;1;PL;1;1;0,09008607;Rendering;PL
1062;;98;1;SP;1;Failure;0,003216046;0,655145008;1;DE;0;0;0,24288004;Rendering;DE
1063;503;67;2;SP;1;Success;0,003045604;0,756215735;1;AT;0;0;0,017650065;Rendering;Other
1064;;193;1;SP;1;Failure;0;0,332221649;1;ZA;0;0;0;Oilseed;Other
1065;;126;1;SP;1;Success;0,029408083;1,114749843;1;HU;1;0;0,049273194;Oilseed;Other
1066;;14;1;Other;1;Success;0,000440498;1,003106658;1;MK;0;0;0,000857283;Oilseed;Other
1067;;194;60;SP;4;Failure;0;0,983617785;0,546411173;KZ;0;0;0,016697353;Oilseed;Other
1068;504;96;0;SV;1;Success;0,004160797;0,996742865;0,815501781;DE;0;0;0,24288004;Rendering;DE
1069;;36;10;SP;2;Failure;0,006161744;0,899976766;0,796042474;CY;0;0;0,006161744;Oilseed;Other
1070;;179;6;Other;1;Success;0,011140294;1,865176923;1;FR;1;1;0,149340658;Rendering;FR
1071;;13;1;SP;2;Success;0,005186831;0,976417028;0,994696485;BA;0;0;0,005186831;Oilseed;Other
1072;;126;1;SP;1;Success;0,029408083;1,067663863;0,311098988;HU;1;0;0,049273194;Oilseed;Other
1073;505;12;2;SP;1;Success;0,021882417;0,999223361;1;DE;1;1;0,24288004;Oilseed;DE
1074;506;25;0;SP;1;Success;0,002652777;0,74316627;0,686267516;US;0;0;0,031120862;Oilseed;US
1075;;60;1;EP;1;Success;0,000300471;1,271914969;0,649013499;CH;0;0;0,028680262;Oilseed;Other
1076;507;77;0;SP;1;Success;0,009222167;1,030686486;0,768517081;PL;1;1;0,09008607;Rendering;PL
1077;508;145;1;SP;1;Success;0,023432025;1,092716517;0,869072496;US;1;0;0,031120862;Rendering;US
1078;509;34;0;SP;1;Success;0,032574028;0,972333284;1;RU;0;0;0,037934649;Oilseed;RU
1079;;36;1;SP;1;Failure;0,006161744;0,963577725;0,718456457;CY;0;0;0,006161744;Oilseed;Other
